Manufacturer,Model,Description,Price,Rating,no. of reviews,url
realme,Narzo 30 Unlocked 4GB 128GB Dimensity 700 Processor 65 90Hz FHD18W Quick Charge 48MP Triple Cameras EU Charger with US Adapter 5G Only Supports Verizon Wireless and atTs n5 Band ,realme Narzo 30 Unlocked 4GB 128GB Dimensity 700 Processor 65 90Hz FHD18W Quick Charge 48MP Triple Cameras EU Charger with US Adapter 5G Only Supports Verizon Wireless and atTs n5 Band ,$214.99,4.4 out of 5 stars,11,https://www.amazon.com/realme-Unlocked-Dimensity-Processor-Supports/dp/B099ZHPCS1/ref=sr_1_3?dchild=1&keywords=realme+phones&qid=1635947613&qsid=139-2685285-7004012&sr=8-3&sres=B09888GTQL%2CB0947RQ9D4%2CB099ZHPCS1%2CB085PKRLDB%2CB099ZKNZMZ%2CB086PKMTQR%2CB08JZDF9LK%2CB09B2M28YP%2CB08NLDT3DD%2CB09DV1MD4M%2CB08BGZ9LBL%2CB08BWDNW8F%2CB0949LJPDM%2CB07XM7WVS8%2CB093CBX4J6%2CB09728VTDK&srpt=CELLULAR_PHONE
Realme,GT 8GB 128GB Unlocked Snapdragon 888 with 64MP AI Triple Camera 4500 Battery 65W SuperDart Charge 120Hz 643 Super AMOLED Fullscreen Global Version EU Charger with Adapter US Blue ,Realme GT 8GB 128GB Unlocked Snapdragon 888 with 64MP AI Triple Camera 4500 Battery 65W SuperDart Charge 120Hz 643 Super AMOLED Fullscreen Global Version EU Charger with Adapter US Blue ,$514.18,3.4 out of 5 stars,7,https://www.amazon.com/Unlocked-Snapdragon-Battery-SuperDart-Fullscreen/dp/B099ZKNZMZ/ref=sr_1_5?dchild=1&keywords=realme+phones&qid=1635947613&qsid=139-2685285-7004012&sr=8-5&sres=B09888GTQL%2CB0947RQ9D4%2CB099ZHPCS1%2CB085PKRLDB%2CB099ZKNZMZ%2CB086PKMTQR%2CB08JZDF9LK%2CB09B2M28YP%2CB08NLDT3DD%2CB09DV1MD4M%2CB08BGZ9LBL%2CB08BWDNW8F%2CB0949LJPDM%2CB07XM7WVS8%2CB093CBX4J6%2CB09728VTDK&srpt=CELLULAR_PHONE
ATT,SB3014 DECT 60 Conference Phone with Four Wireless Mics Black ,ATT SB3014 DECT 60 Conference Phone with Four Wireless Mics Black ,$286.99,4.3 out of 5 stars,82,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02997091UO4EIHH371NB&url=%2FAT-SB3014-Conference-Phone-Wireless%2Fdp%2FB00W5KC31W%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Drealme%2Bphones%26qid%3D1635947613%26sr%3D8-9-spons%26psc%3D1&qualifier=1635947613&id=538949058901356&widgetName=sp_mtf
realme,GT Master Edition 6128GB Unlocked Snapdragon 778 with 64MP Main Camera 4300 Battery 65W SuperDart Charge 120Hz 643 Super AMOLEDGlobal Version EU Charger with US Adapter ,realme GT Master Edition 6128GB Unlocked Snapdragon 778 with 64MP Main Camera 4300 Battery 65W SuperDart Charge 120Hz 643 Super AMOLEDGlobal Version EU Charger with US Adapter ,$360.00,5.0 out of 5 stars,2,https://www.amazon.com/realme-Unlocked-Snapdragon-Battery-SuperDart/dp/B09DV1MD4M/ref=sr_1_11?dchild=1&keywords=realme+phones&qid=1635947613&qsid=139-2685285-7004012&sr=8-11&sres=B09888GTQL%2CB0947RQ9D4%2CB099ZHPCS1%2CB085PKRLDB%2CB099ZKNZMZ%2CB086PKMTQR%2CB08JZDF9LK%2CB09B2M28YP%2CB08NLDT3DD%2CB09DV1MD4M%2CB08BGZ9LBL%2CB08BWDNW8F%2CB0949LJPDM%2CB07XM7WVS8%2CB093CBX4J6%2CB09728VTDK&srpt=CELLULAR_PHONE
OnePlus,9 Pro Morning Mist 5G Unlocked Android Smartphone US Version12GB RAM256GB Storage120Hz Fluid DisplayHasselblad Quad Camera65W Ultra Fast Charge50W Wireless Chargewith Alexa Builtin ,OnePlus 9 Pro Morning Mist 5G Unlocked Android Smartphone US Version12GB RAM256GB Storage120Hz Fluid DisplayHasselblad Quad Camera65W Ultra Fast Charge50W Wireless Chargewith Alexa Builtin ,$799.99,4.1 out of 5 stars,123,https://www.amazon.com/OnePlus-Unlocked-Smartphone-Hasselblad-Wireless/dp/B07XM7WVS8/ref=sr_1_15?dchild=1&keywords=realme+phones&qid=1635947613&qsid=139-2685285-7004012&sr=8-15&sres=B09888GTQL%2CB0947RQ9D4%2CB099ZHPCS1%2CB085PKRLDB%2CB099ZKNZMZ%2CB086PKMTQR%2CB08JZDF9LK%2CB09B2M28YP%2CB08NLDT3DD%2CB09DV1MD4M%2CB08BGZ9LBL%2CB08BWDNW8F%2CB0949LJPDM%2CB07XM7WVS8%2CB093CBX4J6%2CB09728VTDK&srpt=CELLULAR_PHONE
OnePlus,8T  5G Unlocked Android Smartphone  A Days Power in 15 Minutes  Ultra Smooth 120Hz Display  48MP Quad Camera  256GB Aquamarine Green  US Version ,OnePlus 8T  5G Unlocked Android Smartphone  A Days Power in 15 Minutes  Ultra Smooth 120Hz Display  48MP Quad Camera  256GB Aquamarine Green  US Version ,$499.99,4.5 out of 5 stars,880,https://www.amazon.com/OnePlus-Aquamarine-Unlocked-Android-Smartphone/dp/B08KXB3R7S/ref=sr_1_17?dchild=1&keywords=realme+phones&qid=1635947620&sr=8-17
SAMSUNG,Galaxy S20 FE 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone ProGrade Camera 30X Space Zoom Night Mode Cloud Lavender ,SAMSUNG Galaxy S20 FE 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone ProGrade Camera 30X Space Zoom Night Mode Cloud Lavender ,$699.99,4.6 out of 5 stars,"7,254",https://www.amazon.com/Samsung-Unlocked-Smartphone-Pro-Grade-Lavender/dp/B08FYTRF6J/ref=sr_1_20?dchild=1&keywords=realme+phones&qid=1635947620&sr=8-20
OnePlus,Nord N10 5G Unlocked Smartphone Midnight Ice 90Hz Refresh Rate 6GB RAM  128GB storage US Version Model BE2026 ,OnePlus Nord N10 5G Unlocked Smartphone Midnight Ice 90Hz Refresh Rate 6GB RAM  128GB storage US Version Model BE2026 ,$299.99,4.2 out of 5 stars,972,https://www.amazon.com/OnePlus-Unlocked-Smartphone-Midnight-BE2026/dp/B08R7D4KZJ/ref=sr_1_22?dchild=1&keywords=realme+phones&qid=1635947620&sr=8-22
Google,Pixel 5  5G Android Phone  Water Resistant  Unlocked Smartphone with Night Sight and Ultrawide Lens  Just Black ,Google Pixel 5  5G Android Phone  Water Resistant  Unlocked Smartphone with Night Sight and Ultrawide Lens  Just Black ,$999.00,4.6 out of 5 stars,"2,704",https://www.amazon.com/Google-Pixel-Resistant-Smartphone-Ultrawide/dp/B08H8X23ZB/ref=sr_1_31?dchild=1&keywords=realme+phones&qid=1635947620&sr=8-31
Moto,G stylus  2020  Unlocked  Made for US by Motorola  4128GB  48MP Camera  Indigo ,Moto G stylus  2020  Unlocked  Made for US by Motorola  4128GB  48MP Camera  Indigo ,$199.99,4.5 out of 5 stars,"22,839",https://www.amazon.com/Stylus-Unlocked-Motorola-Camera-Indigo/dp/B084CVPLLC/ref=sr_1_39?dchild=1&keywords=realme+phones&qid=1635947624&sr=8-39
